UID,Title,Article_Link,Authors,Abstract,Publication,Num_citation,Cited_by_url,Published_Year
wk3BzInugvQJ,[HTML][HTML]Using a novel clustered 3D-CNNmodel for improving crop future price prediction,https://www.sciencedirect.com/science/article/pii/S0950705122012291,"['L Cheung', ' Y Wang', 'ASM Lau', ' RMC Chan']",… the production environment andeconomicfactors in predicting …CNNis the modern methodto overcome the limitations of the traditional statistical methods to predict the price trend.CNN…,Elsevier,9,"/scholar?cites=17618906967839952322&as_sdt=2005&sciodt=0,5&hl=en",2023
yPTzPrPBfzcJ,Framing international media in the face of social movements:CNNand Al-Jazeera English in the fall of Morsi,https://repositorio.consejodecomunicacion.gob.ec/handle/CONSEJO_REP/3734,['M Elena'],"… As we have seen in the identification of frames, Al-Jazeera English does not explore thecauses in depth, whileCNNunderlineseconomicreasons, poor management and lack of …",.consejodecomunicacion.gob.ec,27,"/scholar?cites=3999127969727771848&as_sdt=2005&sciodt=0,5&hl=en",2016
9wcvS0VKLAkJ,A graph-basedCNN-LSTM stock price prediction algorithm with leading indicators,https://link.springer.com/article/10.1007/s00530-021-00758-w,"['JMT Wu', ' Z Li', 'N Herencsar', 'B Vo', ' JCW Lin']","… So financing refers to the process ofeconomicoperation; … factors, includingeconomictrends,economiccycles,economic… analysis, financial theory andeconomicanalysis, time series …",Springer,159,"/scholar?cites=660984906791192567&as_sdt=2005&sciodt=0,5&hl=en",2023
aX1MkEwvMpkJ,Bypassing the gateways: International news onCNNWorld Report,https://www.tandfonline.com/doi/abs/10.1080/08824099309359931,"['JE Fryman', ' BJ Bates']","… The analysis indicates thatCNNWORLD REPORT … cultural,economic, and developmentaltopics and less emphasis on war, disasters, and conflict. The analysis also indicates thatCNN…",Francis,14,"/scholar?cites=11038937642523458921&as_sdt=2005&sciodt=0,5&hl=en",1993
OA_KF9ibMf0J,TheCNNdefect: Representations of race and historical justice in the Zimbabwean election,https://www.tandfonline.com/doi/abs/10.1080/13216597.2011.589365,['L Moyo'],… a politicaleconomicnature suggests thatCNNdoes … ‘economicfree fall’ and not blackempowerment. The obsession with dictatorial Mugabe and his violent land reform blinds theCNN…,Francis,8,"/scholar?cites=18244534917868949304&as_sdt=2005&sciodt=0,5&hl=en",2011
i-TJHusxYMwJ,Plant leaf disease detection usingCNNalgorithm,https://www.igi-global.com/article/plant-leaf-disease-detection-using-cnn-algorithm/273224,"['P Deepalakshmi', ' K Lavanya…']","…economicdevelopment in India. The fertility of soil, weather conditions, and cropeconomic… by extracting features from input images usingCNNalgorithm. These features extracted help …",igi-global.com,44,"/scholar?cites=14726825667405145227&as_sdt=2005&sciodt=0,5&hl=en",2021
_IO45rDfUpMJ,Global television news and foreign policy: Debating theCNNeffect,https://academic.oup.com/isp/article-abstract/6/3/325/1846890,['E Gilboa'],"… The first uses of the term in newspapers referred to the adverse psychological,economic,and financial consequences ofCNN’s war coverage. In an interview conducted shortly after the …",academic.oup.com,150,"/scholar?cites=10615793222543770620&as_sdt=2005&sciodt=0,5&hl=en",2005
e-plar5fMXoJ,CNNbased disease detection approach on potato leaves,https://ieeexplore.ieee.org/abstract/document/9316021/,"['MKR Asif', 'MA Rahman', 'MH Hena']",…CNNmodel is used for this research to detect the disease from images of the potato leafbecause inCNN… balance system and agriculturaleconomicsituation too. The level of demand is …,ieeexplore.ieee.org,56,"/scholar?cites=8804924017919519355&as_sdt=2005&sciodt=0,5&hl=en",2020
bRPuDxGH2E0J,EO-CNN: an enhancedCNNmodel trained by equilibrium optimization for traffic transportation prediction,https://www.sciencedirect.com/science/article/pii/S1877050920319724,"['T Nguyen', 'G Nguyen', 'BM Nguyen']","… areas like traffic transportation,economicgrowth, weather …CNNbased on meta-heuristicalgorithm Equilibrium Optimization (EO). The proposed model, therefore, is called by EO-CNN…",Elsevier,45,"/scholar?cites=5609381843241407341&as_sdt=2005&sciodt=0,5&hl=en",2020
6b-_QN9zW_8J,Bitcoin price forecasting method based onCNN‐LSTM hybrid neural network model,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/joe.2019.1203,"['Y Li', ' W Dai']","… (CNN) is used to extract the characteristics that have a great influence on Bitcoin price inthe data set, and then long short-term memory (LSTM) is used for price forecasting. ACNN-…",Library,51,"/scholar?cites=18400428105253502953&as_sdt=2005&sciodt=0,5&hl=en",2020
