UID,Title,Article_Link,Authors,Abstract,Publication,Num_citation,Cited_by_url,Published_Year
2DMqugwNW9oJ,A new concept of eigenvalues andeigenvectorsand itsapplications,https://ieeexplore.ieee.org/abstract/document/1102448/,['MY Wu'],… The purpose of this correspondence is to introduce a new concept for “eigenvalues” and “eigenvectors”and to show some of its possibleapplications. This new definition reduces to the …,ieeexplore.ieee.org,68,"/scholar?cites=15734184071463056344&as_sdt=2005&sciodt=0,5&hl=en",1980
zzpzALD37SQJ,Eigenvectorcentrality and itsapplicationin research professionals' relationship network,https://ieeexplore.ieee.org/abstract/document/7154915/,"['A Bihari', ' MK Pandia']","… discusseigenvectorcentrality and itsapplicationbased on Network x. Ineigenvectorcentrality… Therefore, we modify theeigenvectorcentrality algorithm and set the starting amount of …",ieeexplore.ieee.org,65,"/scholar?cites=2661055290139687631&as_sdt=2005&sciodt=0,5&hl=en",2015
SVmjfYkcXxUJ,Commoneigenvectorsof two matrices,https://www.sciencedirect.com/science/article/pii/0024379584900855,['D Shemesh'],"… also aneigenvectorof B. We can restate this problem as: Does there exist aneigenvectorof B which belongs to the kernel of A - XI? Or, more generally, when does an n-square …",Elsevier,118,"/scholar?cites=1539980974427953481&as_sdt=2005&sciodt=0,5&hl=en",1984
forIRmVTLqUJ,Eigenvectorsand functions of the discrete Fourier transform,https://ieeexplore.ieee.org/abstract/document/1163843/,"['B Dickinson', ' K Steiglitz']","… no difficulty in finding a complete set of real orthogonaleigenvectorsfor S which are alsoeigenvectorsof F, even when S has multiple eigen… We have described twoapplicationsof linear …",ieeexplore.ieee.org,290,"/scholar?cites=11902542559631149694&as_sdt=2005&sciodt=0,5&hl=en",1982
ythuIw5g--IJ,Properties of theeigenvectorsof persymmetric matrices withapplicationsto communication theory,https://ieeexplore.ieee.org/abstract/document/1093391/,"['A Cantoni', ' P Butler']",… There have been a number of problems whose solution involves theeigenvectorsofpersymmetric matrices. This paper summarizes a number of properties of theeigenvectorsof …,ieeexplore.ieee.org,131,"/scholar?cites=16355772085566363850&as_sdt=2005&sciodt=0,5&hl=en",1976
YvElicIRaWkJ,AnEigenvectorPerturbation Bound and ItsApplication,https://www.jmlr.org/papers/v18/16-140.html,"['J Fan', 'W Wang', 'Y Zhong']",… aneigenvectoror singular vector u to be either u or −u in the bounds. This is becuaseeigenvectors… This explains why it is plausible to have a strong uniformeigenvectorperturbation …,jmlr.org,167,"/scholar?cites=7595621773759344994&as_sdt=2005&sciodt=0,5&hl=en",2018
9LKcGFiBKusJ,Derivatives of eigenvalues andeigenvectorsof matrix functions,https://epubs.siam.org/doi/abs/10.1137/0614061,"['AL Andrew', 'KWE Chu', ' P Lancaster']","…eigenvectorof L at p. A lefteigenvectorof L at p is a righteigenvectorof the transpose LT. …eigenvectorfunction which, when theeigenvectortakes complex values, also satisfies (5.8). …",SIAM,205,"/scholar?cites=16945498763304940276&as_sdt=2005&sciodt=0,5&hl=en",1993
YTJ9_0M8emUJ,Applicationof LASSO to theeigenvectorselection problem ineigenvector‐based spatial filtering,https://onlinelibrary.wiley.com/doi/abs/10.1111/gean.12054,"['H Seya', 'D Murakami', ' M Tsutsumi…']","… For example, for the n = 2,000 scenario, ESFM required 7,800 s for selectingeigenvectorswhereas the ESFL required only 349 s (Table 6). In such a case, our proposedapplicationof …",Library,40,"/scholar?cites=7312223207736291937&as_sdt=2005&sciodt=0,5&hl=en",2015
j6k0ED-0dSQJ,On theapplicationofeigenvectorexpansions to numerical deconvolution,https://www.sciencedirect.com/science/article/pii/0021999174900163,"['MP Ekstrom', ' RL Rhoads']",In this paper a procedure for the numerical solution of convolution-type integral equations ispresented. The method uses a spectral representation of a transformed-convolution …,Elsevier,51,"/scholar?cites=2627204140588378511&as_sdt=2005&sciodt=0,5&hl=en",1974
6edHCagSlCoJ,On differentiating eigenvalues andeigenvectors,https://www.cambridge.org/core/journals/econometric-theory/article/on-differentiating-eigenvalues-and-eigenvectors/E44CD3EAE5CB211F6D79DDA9B7609EEE,['JR Magnus'],"… As anapplicationof the differential of theeigenvectordu, let us now obtain d2k, thesecond differential of the eigenvalue function. We consider first the case in which Xo is a real …",cambridge.org,270,"/scholar?cites=3068097759065663465&as_sdt=2005&sciodt=0,5&hl=en",1985
5He33w8apG0J,Angular synchronization byeigenvectorsand semidefinite programming,https://www.sciencedirect.com/science/article/pii/S1063520310000205,['A Singer'],"… We present extensions of theeigenvectormethod to other synchronization problems thatinvolve different group structures and theirapplications, such as the time synchronization …",Elsevier,428,"/scholar?cites=7900468301794867172&as_sdt=2005&sciodt=0,5&hl=en",2011
xHhpm-EiC2sJ,[PDF][PDF]The eigen-decomposition: Eigenvalues andeigenvectors,https://malabdali.com/wp-content/uploads/2023/10/Abdi-EVD2007-pretty.pdf,['H Abdi'],"… For mostapplicationswe normalize theeigenvectors(ie, transform them such … theeigenvectorassociated with one given eigenvalue. Strictly speaking, there is an infinity ofeigenvectors…",malabdali.com,104,"/scholar?cites=7713297139172473028&as_sdt=2005&sciodt=0,5&hl=en",2007
jpVhb-7zpYYJ,Asymptotic inference foreigenvectors,https://projecteuclid.org/journals/annals-of-statistics/volume-9/issue-4/Asymptotic-Inference-for-Eigenvectors/10.1214/aos/1176345514.short,['DE Tyler'],"…Applicationsof the general results in this paper are illustrated through the following two …If Sx = Xx for some x é 0, then N is an eigenvalue of S and x is aneigenvectorof S associated …",projecteuclid.org,225,"/scholar?cites=9702429177636033934&as_sdt=2005&sciodt=0,5&hl=en",1981
qdYHxbAwnRMJ,Analysis of EEG signals by combiningeigenvectormethods and multiclass support vector machines,https://www.sciencedirect.com/science/article/pii/S0010482507001138,['ED Übeyli'],"… groups, was dealt byapplicationofeigenvectormethods.Eigenvectormethods are usedfor … Even when the signal-to-noise ratio (SNR) is low, theeigenvectormethods produce …",Elsevier,167,"/scholar?cites=1413339393842206377&as_sdt=2005&sciodt=0,5&hl=en",2008
